student_id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average score,total score,pass math,pass reading,pass writing,pass all,performance band,best subject,reading-writing gap,reading-math gap,writing-math gap
1,female,group B,bachelor's degree,standard,none,72,72,74,72.67,218,True,True,True,True,Good,Writing,-2,0,2
2,female,group C,some college,standard,completed,69,90,88,82.33,247,True,True,True,True,Excellent,Reading,2,21,19
3,female,group B,master's degree,standard,none,90,95,93,92.67,278,True,True,True,True,Excellent,Reading,2,5,3
4,male,group A,associate's degree,free/reduced,none,47,57,44,49.33,148,False,False,False,False,At Risk,Reading,13,10,-3
5,male,group C,some college,standard,none,76,78,75,76.33,229,True,True,True,True,Good,Reading,3,2,-1
6,female,group B,associate's degree,standard,none,71,83,78,77.33,232,True,True,True,True,Good,Reading,5,12,7
7,female,group B,some college,standard,completed,88,95,92,91.67,275,True,True,True,True,Excellent,Reading,3,7,4
8,male,group B,some college,free/reduced,none,40,43,39,40.67,122,False,False,False,False,At Risk,Reading,4,3,-1
9,male,group D,high school,free/reduced,completed,64,64,67,65.0,195,True,True,True,True,Average,Writing,-3,0,3
10,female,group B,high school,free/reduced,none,38,60,50,49.33,148,False,True,False,False,At Risk,Reading,10,22,12
11,male,group C,associate's degree,standard,none,58,54,52,54.67,164,False,False,False,False,At Risk,Math,2,-4,-6
12,male,group D,associate's degree,standard,none,40,52,43,45.0,135,False,False,False,False,At Risk,Reading,9,12,3
13,female,group B,high school,standard,none,65,81,73,73.0,219,True,True,True,True,Good,Reading,8,16,8
14,male,group A,some college,standard,completed,78,72,70,73.33,220,True,True,True,True,Good,Math,2,-6,-8
15,female,group A,master's degree,standard,none,50,53,58,53.67,161,False,False,False,False,At Risk,Writing,-5,3,8
16,female,group C,some high school,standard,none,69,75,78,74.0,222,True,True,True,True,Good,Writing,-3,6,9
17,male,group C,high school,standard,none,88,89,86,87.67,263,True,True,True,True,Excellent,Reading,3,1,-2
18,female,group B,some high school,free/reduced,none,18,32,28,26.0,78,False,False,False,False,At Risk,Reading,4,14,10
19,male,group C,master's degree,free/reduced,completed,46,42,46,44.67,134,False,False,False,False,At Risk,Math,-4,-4,0
20,female,group C,associate's degree,free/reduced,none,54,58,61,57.67,173,False,False,True,False,At Risk,Writing,-3,4,7
21,male,group D,high school,standard,none,66,69,63,66.0,198,True,True,True,True,Average,Reading,6,3,-3
22,female,group B,some college,free/reduced,completed,65,75,70,70.0,210,True,True,True,True,Good,Reading,5,10,5
23,male,group D,some college,standard,none,44,54,53,50.33,151,False,False,False,False,At Risk,Reading,1,10,9
24,female,group C,some high school,standard,none,69,73,73,71.67,215,True,True,True,True,Good,Reading,0,4,4
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,225,True,True,True,True,Good,Writing,-9,-3,6
26,male,group A,master's degree,free/reduced,none,73,74,72,73.0,219,True,True,True,True,Good,Reading,2,1,-1
27,male,group B,some college,standard,none,69,54,55,59.33,178,True,False,False,False,At Risk,Math,-1,-15,-14
